Timestamp,HR,BR,Temp,Posture,Activity,Acceleration,Battery,BRAmplitude,ECGAmplitude,ECGNoise,XMin,XPeak,YMin,YPeak,ZMin,ZPeak
2019-06-13 13:38:51.440,178,26.6,-3276.8,87,0.07,0.15,4.158,136.0,0.0051,0.0002,-0.15,0.07,-0.48,-0.24,-0.96,-0.79
2019-06-13 13:38:52.440,170,26.5,-3276.8,86,0.07,0.16,4.158,122.0,0.00494,0.0002,-0.16,0.0,-0.4,-0.22,-0.98,-0.77
2019-06-13 13:38:53.440,162,26.5,-3276.8,84,0.08,0.15,4.158,109.0,0.00494,0.00014,-0.16,0.01,-0.39,-0.19,-1.02,-0.77
2019-06-13 13:38:54.440,157,26.3,-3276.8,84,0.04,0.13,4.158,98.0,0.005,0.00014,-0.16,-0.01,-0.34,-0.19,-0.96,-0.84
2019-06-13 13:38:55.440,153,26.3,-3276.8,84,0.15,0.46,4.158,92.0,0.005,0.00014,-0.25,0.14,-0.66,-0.1,-1.25,-0.45
2019-06-13 13:38:56.440,149,26.2,-3276.8,84,0.18,0.42,4.158,94.0,0.00502,0.00014,-0.39,0.25,-0.63,-0.13,-1.02,-0.55
2019-06-13 13:38:57.440,145,26.2,-3276.8,87,0.26,0.61,4.158,94.0,0.00502,0.00016,-0.36,0.48,-0.77,0.07,-1.27,-0.49
2019-06-13 13:38:58.440,143,26.1,-3276.8,91,0.35,0.91,4.157,89.0,0.00518,0.00018,-0.6,0.98,-0.87,0.12,-1.48,-0.2
2019-06-13 13:38:59.440,145,26.1,-3276.8,93,0.71,1.36,4.157,83.0,0.00518,0.0002,-0.73,0.92,-0.93,0.27,-2.01,0.46
2019-06-13 13:39:00.440,148,26.0,-3276.8,94,0.7,1.31,4.157,80.0,0.00516,0.0002,-0.65,1.2,-0.9,0.33,-2.03,0.44
2019-06-13 13:39:01.440,143,26.0,-3276.8,94,0.44,1.19,4.157,74.0,0.00516,0.0002,-0.3,1.09,-0.74,0.1,-1.72,0.22
2019-06-13 13:39:02.440,137,25.9,-3276.8,90,0.11,0.2,4.157,91.0,0.00504,0.00018,-0.16,0.01,-0.34,-0.19,-1.07,-0.79
2019-06-13 13:39:03.440,132,25.9,-3276.8,89,0.12,0.32,4.157,84.0,0.00504,0.00016,-0.19,0.2,-0.46,0.0,-1.16,-0.78
2019-06-13 13:39:04.440,131,26.0,-3276.8,90,0.27,0.49,4.157,83.0,0.00494,0.00018,-0.34,0.33,-0.74,-0.04,-1.22,-0.61
2019-06-13 13:39:05.440,133,26.0,-3276.8,91,0.28,0.66,4.157,84.0,0.00494,0.00018,-0.31,0.74,-0.69,0.0,-1.43,-0.56
2019-06-13 13:39:06.440,138,26.1,-3276.8,93,0.33,0.73,4.157,89.0,0.00472,0.00022,-0.4,0.69,-0.77,-0.08,-1.46,-0.44
2019-06-13 13:39:07.440,146,26.1,-3276.8,93,0.3,0.69,4.157,85.0,0.00472,0.00024,-0.19,0.51,-0.86,0.0,-1.57,-0.34
2019-06-13 13:39:08.440,154,26.2,-3276.8,90,0.6,1.71,4.157,93.0,0.00452,0.00082,-0.69,1.34,-1.42,0.06,-2.46,0.02
2019-06-13 13:39:09.440,159,26.2,-3276.8,91,0.34,0.63,4.157,96.0,0.00452,0.00068,-0.22,0.22,-0.65,-0.08,-1.36,-0.21
2019-06-13 13:39:10.440,159,26.2,-3276.8,93,0.32,0.69,4.157,103.0,0.00464,0.0006,-0.27,0.6,-0.84,0.07,-1.45,-0.3
2019-06-13 13:39:11.440,164,26.2,-3276.8,90,0.34,0.73,4.157,109.0,0.00464,0.00054,-0.71,0.59,-0.9,-0.13,-1.57,-0.44
2019-06-13 13:39:12.440,172,26.0,-3276.8,91,0.38,0.81,4.157,110.0,0.00488,0.0005,-0.78,0.81,-0.85,-0.06,-1.42,-0.36
2019-06-13 13:39:13.440,186,26.0,-3276.8,90,0.37,0.62,4.157,107.0,0.00488,0.00046,-0.48,0.31,-0.86,-0.09,-1.24,-0.31
2019-06-13 13:39:14.440,193,26.0,-3276.8,89,0.19,0.69,4.157,115.0,0.00508,0.00046,-0.46,0.39,-0.56,0.18,-1.36,-0.74
2019-06-13 13:39:15.440,194,26.0,-3276.8,92,0.55,1.44,4.157,112.0,0.00508,0.0005,-0.44,0.78,-1.43,0.18,-2.3,-0.06
2019-06-13 13:39:16.440,198,25.9,-3276.8,91,0.6,1.1,4.157,122.0,0.0054,0.00046,-0.69,0.71,-1.3,0.21,-1.83,0.12
2019-06-13 13:39:17.440,206,25.9,-3276.8,91,0.41,0.77,4.157,108.0,0.0054,0.00044,-0.4,0.42,-0.95,0.04,-1.55,-0.32
2019-06-13 13:39:18.440,211,25.8,-3276.8,88,0.19,0.37,4.157,97.0,0.00536,0.00044,-0.25,0.18,-0.73,-0.27,-1.06,-0.48
2019-06-13 13:39:19.440,207,25.8,-3276.8,84,0.14,0.24,4.157,99.0,0.00536,0.00036,-0.28,-0.1,-0.55,-0.38,-1.0,-0.68
2019-06-13 13:39:20.440,205,25.8,-3276.8,82,0.07,0.37,4.157,97.0,0.00532,0.0003,-0.24,0.18,-0.77,-0.32,-0.95,-0.67
2019-06-13 13:39:21.440,202,25.8,-3276.8,85,0.33,0.83,4.157,107.0,0.00532,0.00028,-0.36,0.55,-1.12,-0.16,-1.68,-0.19
2019-06-13 13:39:22.440,198,25.7,-3276.8,89,0.51,1.08,4.157,111.0,0.00508,0.0003,-0.43,0.75,-1.12,0.44,-1.63,0.25
2019-06-13 13:39:23.440,193,25.7,-3276.8,91,0.39,0.63,4.157,103.0,0.00508,0.0003,-0.21,0.66,-0.74,0.07,-1.33,-0.43
2019-06-13 13:39:24.440,189,25.7,-3276.8,100,0.31,0.53,4.157,110.0,0.00516,0.00034,-0.01,0.71,-0.53,-0.07,-1.33,-0.62
2019-06-13 13:39:25.440,184,25.7,-3276.8,98,0.29,0.61,4.157,113.0,0.00516,0.0003,-0.48,0.63,-0.74,-0.06,-1.37,-0.45
2019-06-13 13:39:26.440,171,25.7,-3276.8,96,0.33,0.67,4.157,104.0,0.00514,0.00028,-0.39,0.45,-0.89,-0.03,-1.22,-0.39
2019-06-13 13:39:27.440,164,25.7,-3276.8,94,0.31,0.91,4.157,100.0,0.00514,0.00028,-0.37,0.53,-1.12,0.09,-1.48,0.06
2019-06-13 13:39:28.440,160,25.7,-3276.8,96,0.6,1.85,4.157,101.0,0.0053,0.00034,-0.78,2.08,-1.19,0.25,-1.81,-0.01
2019-06-13 13:39:29.440,152,25.7,-3276.8,100,0.5,0.69,4.157,95.0,0.0053,0.00032,-0.36,0.84,-0.9,0.02,-1.48,-0.49
2019-06-13 13:39:30.440,146,25.7,-3276.8,102,0.33,0.72,4.157,93.0,0.00468,0.00028,-0.19,0.69,-0.78,0.08,-1.49,-0.25
2019-06-13 13:39:31.440,142,25.7,-3276.8,97,0.54,1.12,4.157,116.0,0.00468,0.0003,-0.86,1.28,-0.87,0.14,-1.61,-0.19
2019-06-13 13:39:32.440,142,25.8,-3276.8,96,0.65,1.12,4.157,119.0,0.00482,0.00032,-0.86,1.28,-0.87,0.14,-1.61,-0.19
2019-06-13 13:39:33.440,145,25.8,-3276.8,94,0.64,1.12,4.157,112.0,0.00482,0.00032,-0.67,0.8,-1.07,0.16,-1.77,0.16
2019-06-13 13:39:34.440,156,25.9,-3276.8,94,0.42,1.32,4.157,102.0,0.00494,0.0003,-0.38,1.03,-1.07,0.33,-1.71,0.32
2019-06-13 13:39:35.440,175,25.9,-3276.8,92,0.23,0.68,4.157,100.0,0.00494,0.0003,-0.28,0.55,-1.07,-0.2,-1.19,-0.37
2019-06-13 13:39:36.440,186,26.0,-3276.8,78,0.5,1.42,4.157,146.0,0.00498,0.00032,-1.24,0.28,-0.65,0.51,-1.57,0.25
2019-06-13 13:39:37.440,186,26.0,-3276.8,67,0.27,0.75,4.157,212.0,0.00498,0.00032,-0.92,-0.08,-0.55,0.13,-1.22,-0.51
2019-06-13 13:39:38.440,185,26.0,-3276.8,71,0.31,0.55,4.157,212.0,0.00514,0.00032,-0.95,-0.34,-0.62,-0.07,-1.12,-0.66
2019-06-13 13:39:39.440,173,26.0,-3276.8,81,0.37,0.69,4.157,195.0,0.00514,0.00032,-0.46,0.33,-0.6,-0.07,-1.26,-0.54
2019-06-13 13:39:40.440,171,26.1,-3276.8,91,0.47,0.87,4.157,184.0,0.0049,0.00034,-0.48,0.72,-0.77,-0.09,-1.44,-0.19
2019-06-13 13:39:41.440,171,26.1,-3276.8,100,0.42,1.08,4.157,172.0,0.0049,0.00032,-0.19,1.18,-0.8,0.07,-1.81,-0.21
2019-06-13 13:39:42.440,168,26.1,-3276.8,106,0.34,0.69,4.157,172.0,0.00484,0.00032,-0.02,0.84,-0.73,0.0,-1.1,-0.32
2019-06-13 13:39:43.440,160,26.1,-3276.8,105,0.26,0.67,4.157,170.0,0.00484,0.0003,-0.16,0.71,-0.75,0.16,-1.14,-0.48
2019-06-13 13:39:44.440,148,26.1,-3276.8,108,0.37,0.69,4.157,162.0,0.00472,0.0003,-0.2,0.9,-0.71,0.09,-1.51,-0.42
2019-06-13 13:39:45.440,140,26.1,-3276.8,105,0.34,0.79,4.157,145.0,0.00472,0.00026,-0.45,0.74,-0.73,0.14,-1.33,-0.3
2019-06-13 13:39:46.440,134,26.2,-3276.8,102,0.59,0.73,4.157,139.0,0.00464,0.00028,-0.39,1.02,-0.84,0.08,-1.39,-0.34
2019-06-13 13:39:47.440,135,26.2,-3276.8,102,0.62,1.38,4.157,141.0,0.00464,0.00032,-0.93,1.71,-1.0,0.06,-2.03,0.34
2019-06-13 13:39:48.440,141,26.3,-3276.8,96,0.81,1.37,4.157,130.0,0.00454,0.00036,-1.13,1.45,-1.18,0.04,-1.77,0.09
2019-06-13 13:39:49.440,148,26.3,-3276.8,97,1.11,3.24,4.157,141.0,0.00454,0.0009,-1.83,3.53,-1.43,0.34,-2.91,0.21
2019-06-13 13:39:50.440,151,26.4,-3276.8,100,0.95,2.63,4.157,126.0,0.00492,0.00086,-1.71,3.12,-1.21,0.26,-2.67,0.42
2019-06-13 13:39:51.440,155,26.4,-3276.8,98,0.25,2.07,4.157,130.0,0.00492,0.00082,-0.36,1.6,-1.45,0.33,-2.59,0.14
2019-06-13 13:39:52.440,159,26.4,-3276.8,96,0.14,0.43,4.157,131.0,0.00516,0.00068,-0.09,0.26,-0.45,-0.01,-1.18,-0.77
2019-06-13 13:39:53.440,160,26.4,-3276.8,92,0.23,0.49,4.157,144.0,0.00516,0.00056,-0.2,0.13,-0.55,-0.02,-1.36,-0.55
2019-06-13 13:39:54.440,161,26.4,-3276.8,90,0.17,0.39,4.157,130.0,0.00516,0.00054,-0.3,0.21,-0.46,0.03,-1.14,-0.77
2019-06-13 13:39:55.440,166,26.4,-3276.8,92,0.23,0.36,4.157,125.0,0.00516,0.00052,-0.28,0.25,-0.6,0.0,-1.21,-0.65
2019-06-13 13:39:56.440,174,26.4,-3276.8,92,0.29,0.57,4.157,115.0,0.0054,0.00048,-0.31,0.42,-0.86,-0.08,-1.31,-0.62
2019-06-13 13:39:57.440,189,26.4,-3276.8,93,0.42,0.93,4.157,101.0,0.0054,0.00046,-0.54,0.97,-0.92,-0.03,-1.54,-0.31
2019-06-13 13:39:58.440,192,26.4,-3276.8,91,0.23,0.63,4.157,91.0,0.00554,0.00042,-0.49,0.71,-0.68,-0.01,-1.15,-0.42
2019-06-13 13:39:59.440,192,26.4,-3276.8,91,0.19,0.37,4.157,82.0,0.00554,0.00036,-0.22,0.31,-0.71,-0.09,-1.13,-0.59
