date, timestamp, heart rate
2019-06-13 13:39:10 +0000, 00:00:06, 145
2019-06-13 13:39:11 +0000, 00:00:07, 157
2019-06-13 13:39:12 +0000, 00:00:08, 167
2019-06-13 13:39:13 +0000, 00:00:09, 179
2019-06-13 13:39:14 +0000, 00:00:10, 182
2019-06-13 13:39:15 +0000, 00:00:11, 180
2019-06-13 13:39:16 +0000, 00:00:12, 181
2019-06-13 13:39:17 +0000, 00:00:13, 192
2019-06-13 13:39:18 +0000, 00:00:14, 198
2019-06-13 13:39:19 +0000, 00:00:15, 198
2019-06-13 13:39:20 +0000, 00:00:16, 197
2019-06-13 13:39:21 +0000, 00:00:17, 203
2019-06-13 13:39:22 +0000, 00:00:18, 209
2019-06-13 13:39:23 +0000, 00:00:19, 211
2019-06-13 13:39:24 +0000, 00:00:20, 210
2019-06-13 13:39:25 +0000, 00:00:21, 207
2019-06-13 13:39:26 +0000, 00:00:22, 205
2019-06-13 13:39:27 +0000, 00:00:23, 202
2019-06-13 13:39:28 +0000, 00:00:24, 198
2019-06-13 13:39:29 +0000, 00:00:25, 195
2019-06-13 13:39:30 +0000, 00:00:26, 193
2019-06-13 13:39:31 +0000, 00:00:27, 171
2019-06-13 13:39:32 +0000, 00:00:28, 166
2019-06-13 13:39:34 +0000, 00:00:29, 163
2019-06-13 13:39:34 +0000, 00:00:30, 160
2019-06-13 13:39:35 +0000, 00:00:31, 158
2019-06-13 13:39:36 +0000, 00:00:32, 155
2019-06-13 13:39:37 +0000, 00:00:33, 157
2019-06-13 13:39:38 +0000, 00:00:34, 170
2019-06-13 13:39:39 +0000, 00:00:35, 181
2019-06-13 13:39:40 +0000, 00:00:36, 188
2019-06-13 13:39:41 +0000, 00:00:37, 190
2019-06-13 13:39:42 +0000, 00:00:38, 191
2019-06-13 13:39:43 +0000, 00:00:39, 189
2019-06-13 13:39:44 +0000, 00:00:40, 180
2019-06-13 13:39:45 +0000, 00:00:41, 180
2019-06-13 13:39:46 +0000, 00:00:42, 179
2019-06-13 13:39:47 +0000, 00:00:43, 177
2019-06-13 13:39:48 +0000, 00:00:44, 168
2019-06-13 13:39:49 +0000, 00:00:45, 149
2019-06-13 13:39:50 +0000, 00:00:46, 140
2019-06-13 13:39:51 +0000, 00:00:47, 137
2019-06-13 13:39:52 +0000, 00:00:48, 144
2019-06-13 13:39:53 +0000, 00:00:49, 150
2019-06-13 13:39:54 +0000, 00:00:50, 164
2019-06-13 13:39:55 +0000, 00:00:51, 195
2019-06-13 13:39:56 +0000, 00:00:52, 195
2019-06-13 13:39:57 +0000, 00:00:53, 194
2019-06-13 13:39:58 +0000, 00:00:54, 185
2019-06-13 13:39:59 +0000, 00:00:55, 174
2019-06-13 13:40:00 +0000, 00:00:56, 184
2019-06-13 13:40:01 +0000, 00:00:57, 195
2019-06-13 13:40:02 +0000, 00:00:57, 197
2019-06-13 13:40:03 +0000, 00:00:58, 199
2019-06-13 13:40:04 +0000, 00:00:59, 196
2019-06-13 13:40:05 +0000, 00:01:00, 184
2019-06-13 13:40:07 +0000, 00:01:02, 160
2019-06-13 13:40:08 +0000, 00:01:03, 161
2019-06-13 13:40:08 +0000, 00:01:03, 172
2019-06-13 13:40:10 +0000, 00:01:05, 178
2019-06-13 13:40:11 +0000, 00:01:06, 184
2019-06-13 13:40:11 +0000, 00:01:06, 189
2019-06-13 13:40:12 +0000, 00:01:07, 190
2019-06-13 13:40:13 +0000, 00:01:08, 190
2019-06-13 13:40:14 +0000, 00:01:09, 189
2019-06-13 13:40:15 +0000, 00:01:10, 181
2019-06-13 13:40:16 +0000, 00:01:11, 180
2019-06-13 13:40:17 +0000, 00:01:12, 181
2019-06-13 13:40:18 +0000, 00:01:13, 183
2019-06-13 13:40:19 +0000, 00:01:14, 184
2019-06-13 13:40:20 +0000, 00:01:15, 182
2019-06-13 13:40:21 +0000, 00:01:16, 178
2019-06-13 13:40:22 +0000, 00:01:17, 170
2019-06-13 13:40:23 +0000, 00:01:18, 166
2019-06-13 13:40:24 +0000, 00:01:19, 171
2019-06-13 13:40:25 +0000, 00:01:20, 176
2019-06-13 13:40:26 +0000, 00:01:21, 179
2019-06-13 13:40:27 +0000, 00:01:22, 174
2019-06-13 13:40:28 +0000, 00:01:23, 165
2019-06-13 13:40:29 +0000, 00:01:24, 159
2019-06-13 13:40:30 +0000, 00:01:25, 158
2019-06-13 13:40:31 +0000, 00:01:26, 161
2019-06-13 13:40:32 +0000, 00:01:27, 175
2019-06-13 13:40:33 +0000, 00:01:28, 183
2019-06-13 13:40:34 +0000, 00:01:29, 196
2019-06-13 13:40:35 +0000, 00:01:30, 202
2019-06-13 13:40:36 +0000, 00:01:31, 206
2019-06-13 13:40:37 +0000, 00:01:32, 204
2019-06-13 13:40:38 +0000, 00:01:33, 200
2019-06-13 13:40:39 +0000, 00:01:34, 198
2019-06-13 13:40:40 +0000, 00:01:35, 190
2019-06-13 13:40:41 +0000, 00:01:36, 171
2019-06-13 13:40:42 +0000, 00:01:37, 169
2019-06-13 13:40:43 +0000, 00:01:38, 172
2019-06-13 13:40:44 +0000, 00:01:39, 183
2019-06-13 13:40:45 +0000, 00:01:40, 200
2019-06-13 13:40:46 +0000, 00:01:41, 206
2019-06-13 13:40:48 +0000, 00:01:43, 215
2019-06-13 13:40:48 +0000, 00:01:43, 219
2019-06-13 13:40:50 +0000, 00:01:45, 219
2019-06-13 13:40:50 +0000, 00:01:45, 205
2019-06-13 13:40:51 +0000, 00:01:46, 186
2019-06-13 13:40:52 +0000, 00:01:47, 167
2019-06-13 13:40:53 +0000, 00:01:48, 163
2019-06-13 13:40:54 +0000, 00:01:49, 174
2019-06-13 13:40:55 +0000, 00:01:50, 178
