date, rr, since start
2019-06-13 13:39:10 +0000, 392, 784
2019-06-13 13:39:10 +0000, 385, 1169
2019-06-13 13:39:10 +0000, 370, 1539
2019-06-13 13:39:11 +0000, 351, 1890
2019-06-13 13:39:11 +0000, 346, 2236
2019-06-13 13:39:12 +0000, 343, 2579
2019-06-13 13:39:12 +0000, 333, 2912
2019-06-13 13:39:12 +0000, 323, 3235
2019-06-13 13:39:13 +0000, 313, 3548
2019-06-13 13:39:13 +0000, 334, 3882
2019-06-13 13:39:13 +0000, 378, 4260
2019-06-13 13:39:14 +0000, 379, 4639
2019-06-13 13:39:14 +0000, 376, 5015
2019-06-13 13:39:14 +0000, 377, 5392
2019-06-13 13:39:15 +0000, 373, 5765
2019-06-13 13:39:15 +0000, 355, 6120
2019-06-13 13:39:15 +0000, 334, 6454
2019-06-13 13:39:16 +0000, 320, 6774
2019-06-13 13:39:16 +0000, 318, 7092
2019-06-13 13:39:16 +0000, 304, 7396
2019-06-13 13:39:17 +0000, 300, 7696
2019-06-13 13:39:17 +0000, 299, 7995
2019-06-13 13:39:17 +0000, 294, 8289
2019-06-13 13:39:17 +0000, 292, 8581
2019-06-13 13:39:18 +0000, 293, 8874
2019-06-13 13:39:18 +0000, 301, 9175
2019-06-13 13:39:18 +0000, 332, 9507
2019-06-13 13:39:19 +0000, 333, 9840
2019-06-13 13:39:19 +0000, 312, 10152
2019-06-13 13:39:19 +0000, 307, 10459
2019-06-13 13:39:20 +0000, 304, 10763
2019-06-13 13:39:20 +0000, 302, 11065
2019-06-13 13:39:20 +0000, 292, 11357
2019-06-13 13:39:21 +0000, 290, 11647
2019-06-13 13:39:21 +0000, 287, 11934
2019-06-13 13:39:21 +0000, 282, 12216
2019-06-13 13:39:21 +0000, 279, 12495
2019-06-13 13:39:22 +0000, 277, 12772
2019-06-13 13:39:22 +0000, 282, 13054
2019-06-13 13:39:22 +0000, 277, 13331
2019-06-13 13:39:23 +0000, 287, 13618
2019-06-13 13:39:23 +0000, 295, 13913
2019-06-13 13:39:24 +0000, 389, 14302
2019-06-13 13:39:24 +0000, 523, 14825
2019-06-13 13:39:25 +0000, 509, 15334
2019-06-13 13:39:25 +0000, 511, 15845
2019-06-13 13:39:25 +0000, 459, 16304
2019-06-13 13:39:26 +0000, 449, 16753
2019-06-13 13:39:26 +0000, 390, 17143
2019-06-13 13:39:27 +0000, 376, 17519
2019-06-13 13:39:27 +0000, 353, 17872
2019-06-13 13:39:27 +0000, 327, 18199
2019-06-13 13:39:28 +0000, 318, 18517
2019-06-13 13:39:28 +0000, 332, 18849
2019-06-13 13:39:28 +0000, 385, 19234
2019-06-13 13:39:29 +0000, 410, 19644
2019-06-13 13:39:29 +0000, 387, 20031
2019-06-13 13:39:30 +0000, 393, 20424
2019-06-13 13:39:30 +0000, 386, 20810
2019-06-13 13:39:30 +0000, 382, 21192
2019-06-13 13:39:31 +0000, 376, 21568
2019-06-13 13:39:31 +0000, 380, 21948
2019-06-13 13:39:31 +0000, 375, 22323
2019-06-13 13:39:32 +0000, 378, 22701
2019-06-13 13:39:32 +0000, 375, 23076
2019-06-13 13:39:34 +0000, 388, 23464
2019-06-13 13:39:34 +0000, 409, 23873
2019-06-13 13:39:34 +0000, 450, 24323
2019-06-13 13:39:34 +0000, 539, 24862
2019-06-13 13:39:35 +0000, 585, 25447
2019-06-13 13:39:35 +0000, 481, 25928
2019-06-13 13:39:36 +0000, 441, 26369
2019-06-13 13:39:36 +0000, 412, 26781
2019-06-13 13:39:36 +0000, 389, 27170
2019-06-13 13:39:37 +0000, 374, 27544
2019-06-13 13:39:37 +0000, 360, 27904
2019-06-13 13:39:37 +0000, 342, 28246
2019-06-13 13:39:38 +0000, 333, 28579
2019-06-13 13:39:38 +0000, 330, 28909
2019-06-13 13:39:38 +0000, 322, 29231
2019-06-13 13:39:39 +0000, 321, 29552
2019-06-13 13:39:39 +0000, 316, 29868
2019-06-13 13:39:39 +0000, 312, 30180
2019-06-13 13:39:39 +0000, 311, 30491
2019-06-13 13:39:40 +0000, 302, 30793
2019-06-13 13:39:40 +0000, 307, 31100
2019-06-13 13:39:40 +0000, 311, 31411
2019-06-13 13:39:41 +0000, 331, 31742
2019-06-13 13:39:41 +0000, 375, 32117
2019-06-13 13:39:42 +0000, 411, 32528
2019-06-13 13:39:42 +0000, 405, 32933
2019-06-13 13:39:42 +0000, 396, 33329
2019-06-13 13:39:43 +0000, 391, 33720
2019-06-13 13:39:43 +0000, 378, 34098
2019-06-13 13:39:43 +0000, 363, 34461
2019-06-13 13:39:44 +0000, 341, 34802
2019-06-13 13:39:44 +0000, 333, 35135
2019-06-13 13:39:44 +0000, 329, 35464
2019-06-13 13:39:45 +0000, 339, 35803
2019-06-13 13:39:45 +0000, 359, 36162
2019-06-13 13:39:46 +0000, 407, 36569
2019-06-13 13:39:46 +0000, 416, 36985
2019-06-13 13:39:47 +0000, 441, 37426
2019-06-13 13:39:47 +0000, 435, 37861
2019-06-13 13:39:47 +0000, 433, 38294
2019-06-13 13:39:48 +0000, 433, 38727
2019-06-13 13:39:48 +0000, 430, 39157
2019-06-13 13:39:49 +0000, 439, 39596
2019-06-13 13:39:49 +0000, 444, 40040
2019-06-13 13:39:50 +0000, 483, 40523
2019-06-13 13:39:50 +0000, 475, 40998
2019-06-13 13:39:51 +0000, 434, 41432
2019-06-13 13:39:51 +0000, 415, 41847
2019-06-13 13:39:51 +0000, 407, 42254
2019-06-13 13:39:52 +0000, 394, 42648
2019-06-13 13:39:52 +0000, 382, 43030
2019-06-13 13:39:52 +0000, 371, 43401
2019-06-13 13:39:53 +0000, 343, 43744
2019-06-13 13:39:53 +0000, 321, 44065
2019-06-13 13:39:53 +0000, 308, 44373
2019-06-13 13:39:54 +0000, 298, 44671
2019-06-13 13:39:54 +0000, 294, 44965
2019-06-13 13:39:54 +0000, 284, 45249
2019-06-13 13:39:54 +0000, 286, 45535
2019-06-13 13:39:55 +0000, 287, 45822
2019-06-13 13:39:55 +0000, 284, 46106
2019-06-13 13:39:55 +0000, 307, 46413
2019-06-13 13:39:56 +0000, 301, 46714
2019-06-13 13:39:56 +0000, 371, 47085
2019-06-13 13:39:57 +0000, 364, 47449
2019-06-13 13:39:57 +0000, 391, 47840
2019-06-13 13:39:57 +0000, 394, 48234
2019-06-13 13:39:58 +0000, 381, 48615
2019-06-13 13:39:58 +0000, 375, 48990
2019-06-13 13:39:58 +0000, 370, 49360
2019-06-13 13:39:59 +0000, 351, 49711
2019-06-13 13:39:59 +0000, 338, 50049
2019-06-13 13:39:59 +0000, 322, 50371
2019-06-13 13:40:00 +0000, 313, 50684
2019-06-13 13:40:00 +0000, 308, 50992
2019-06-13 13:40:00 +0000, 302, 51294
2019-06-13 13:40:01 +0000, 295, 51589
2019-06-13 13:40:01 +0000, 295, 51884
2019-06-13 13:40:01 +0000, 290, 52174
2019-06-13 13:40:01 +0000, 299, 52473
2019-06-13 13:40:02 +0000, 317, 52790
2019-06-13 13:40:02 +0000, 350, 53140
2019-06-13 13:40:03 +0000, 398, 53538
2019-06-13 13:40:03 +0000, 403, 53941
2019-06-13 13:40:04 +0000, 429, 54370
2019-06-13 13:40:04 +0000, 421, 54791
2019-06-13 13:40:04 +0000, 416, 55207
2019-06-13 13:40:05 +0000, 419, 55626
2019-06-13 13:40:05 +0000, 401, 56027
2019-06-13 13:40:07 +0000, 399, 56426
2019-06-13 13:40:07 +0000, 381, 56807
2019-06-13 13:40:07 +0000, 375, 57182
2019-06-13 13:40:08 +0000, 368, 57550
2019-06-13 13:40:08 +0000, 358, 57908
2019-06-13 13:40:08 +0000, 339, 58247
2019-06-13 13:40:08 +0000, 335, 58582
2019-06-13 13:40:08 +0000, 327, 58909
2019-06-13 13:40:08 +0000, 324, 59233
2019-06-13 13:40:10 +0000, 324, 59557
2019-06-13 13:40:10 +0000, 319, 59876
2019-06-13 13:40:10 +0000, 325, 60201
2019-06-13 13:40:11 +0000, 327, 60528
2019-06-13 13:40:11 +0000, 316, 60844
2019-06-13 13:40:11 +0000, 313, 61157
2019-06-13 13:40:11 +0000, 312, 61469
2019-06-13 13:40:11 +0000, 308, 61777
2019-06-13 13:40:11 +0000, 303, 62080
2019-06-13 13:40:11 +0000, 308, 62388
2019-06-13 13:40:12 +0000, 317, 62705
2019-06-13 13:40:12 +0000, 311, 63016
2019-06-13 13:40:12 +0000, 309, 63325
2019-06-13 13:40:13 +0000, 324, 63649
2019-06-13 13:40:13 +0000, 316, 63965
2019-06-13 13:40:13 +0000, 311, 64276
2019-06-13 13:40:14 +0000, 318, 64594
2019-06-13 13:40:14 +0000, 329, 64923
2019-06-13 13:40:14 +0000, 346, 65269
2019-06-13 13:40:15 +0000, 352, 65621
2019-06-13 13:40:15 +0000, 350, 65971
2019-06-13 13:40:15 +0000, 337, 66308
2019-06-13 13:40:16 +0000, 330, 66638
2019-06-13 13:40:16 +0000, 333, 66971
2019-06-13 13:40:16 +0000, 332, 67303
2019-06-13 13:40:17 +0000, 325, 67628
2019-06-13 13:40:17 +0000, 336, 67964
2019-06-13 13:40:17 +0000, 325, 68289
2019-06-13 13:40:18 +0000, 319, 68608
2019-06-13 13:40:18 +0000, 323, 68931
2019-06-13 13:40:18 +0000, 322, 69253
2019-06-13 13:40:19 +0000, 322, 69575
2019-06-13 13:40:19 +0000, 325, 69900
2019-06-13 13:40:19 +0000, 331, 70231
2019-06-13 13:40:20 +0000, 336, 70567
2019-06-13 13:40:20 +0000, 331, 70898
2019-06-13 13:40:20 +0000, 351, 71249
2019-06-13 13:40:21 +0000, 344, 71593
2019-06-13 13:40:21 +0000, 355, 71948
2019-06-13 13:40:21 +0000, 374, 72322
2019-06-13 13:40:22 +0000, 386, 72708
2019-06-13 13:40:22 +0000, 375, 73083
2019-06-13 13:40:23 +0000, 371, 73454
2019-06-13 13:40:23 +0000, 359, 73813
2019-06-13 13:40:23 +0000, 349, 74162
2019-06-13 13:40:24 +0000, 336, 74498
2019-06-13 13:40:24 +0000, 328, 74826
2019-06-13 13:40:24 +0000, 337, 75163
2019-06-13 13:40:25 +0000, 325, 75488
2019-06-13 13:40:25 +0000, 322, 75810
2019-06-13 13:40:25 +0000, 339, 76149
2019-06-13 13:40:26 +0000, 325, 76474
2019-06-13 13:40:26 +0000, 323, 76797
2019-06-13 13:40:26 +0000, 334, 77131
2019-06-13 13:40:27 +0000, 349, 77480
2019-06-13 13:40:27 +0000, 372, 77852
2019-06-13 13:40:27 +0000, 386, 78238
2019-06-13 13:40:28 +0000, 400, 78638
2019-06-13 13:40:28 +0000, 392, 79030
2019-06-13 13:40:29 +0000, 390, 79420
2019-06-13 13:40:29 +0000, 389, 79809
2019-06-13 13:40:29 +0000, 387, 80196
2019-06-13 13:40:30 +0000, 380, 80576
2019-06-13 13:40:30 +0000, 373, 80949
2019-06-13 13:40:30 +0000, 371, 81320
2019-06-13 13:40:31 +0000, 362, 81682
2019-06-13 13:40:31 +0000, 354, 82036
2019-06-13 13:40:31 +0000, 343, 82379
2019-06-13 13:40:32 +0000, 331, 82710
2019-06-13 13:40:32 +0000, 324, 83034
2019-06-13 13:40:32 +0000, 313, 83347
