date,rr_raw,rr_avec
2019-06-13 13:39:10,392,392.0
2019-06-13 13:39:10,385,385.0
2019-06-13 13:39:10,370,370.0
2019-06-13 13:39:11,351,351.0
2019-06-13 13:39:11,346,346.0
2019-06-13 13:39:12,343,343.0
2019-06-13 13:39:12,333,333.0
2019-06-13 13:39:12,323,323.0
2019-06-13 13:39:13,313,313.0
2019-06-13 13:39:13,334,334.0
2019-06-13 13:39:13,378,378.0
2019-06-13 13:39:14,379,379.0
2019-06-13 13:39:14,376,376.0
2019-06-13 13:39:14,377,377.0
2019-06-13 13:39:15,373,373.0
2019-06-13 13:39:15,355,355.0
2019-06-13 13:39:15,334,334.0
2019-06-13 13:39:16,320,320.0
2019-06-13 13:39:16,318,318.0
2019-06-13 13:39:16,304,304.0
2019-06-13 13:39:17,300,300.0
2019-06-13 13:39:17,299,299.0
2019-06-13 13:39:17,294,294.0
2019-06-13 13:39:17,292,
2019-06-13 13:39:18,293,293.0
2019-06-13 13:39:18,301,301.0
2019-06-13 13:39:18,332,332.0
2019-06-13 13:39:19,333,333.0
2019-06-13 13:39:19,312,312.0
2019-06-13 13:39:19,307,307.0
2019-06-13 13:39:20,304,304.0
2019-06-13 13:39:20,302,302.0
2019-06-13 13:39:20,292,292.0
2019-06-13 13:39:21,290,290.0
2019-06-13 13:39:21,287,287.0
2019-06-13 13:39:21,282,
2019-06-13 13:39:21,279,
2019-06-13 13:39:22,277,
2019-06-13 13:39:22,282,
2019-06-13 13:39:22,277,
2019-06-13 13:39:23,287,
2019-06-13 13:39:23,295,295.0
2019-06-13 13:39:24,389,389.0
2019-06-13 13:39:24,523,
2019-06-13 13:39:25,509,
2019-06-13 13:39:25,511,
2019-06-13 13:39:25,459,
2019-06-13 13:39:26,449,
2019-06-13 13:39:26,390,390.0
2019-06-13 13:39:27,376,376.0
2019-06-13 13:39:27,353,353.0
2019-06-13 13:39:27,327,327.0
2019-06-13 13:39:28,318,
2019-06-13 13:39:28,332,332.0
2019-06-13 13:39:28,385,385.0
2019-06-13 13:39:29,410,410.0
2019-06-13 13:39:29,387,387.0
2019-06-13 13:39:30,393,393.0
2019-06-13 13:39:30,386,386.0
2019-06-13 13:39:30,382,382.0
2019-06-13 13:39:31,376,376.0
2019-06-13 13:39:31,380,380.0
2019-06-13 13:39:31,375,375.0
2019-06-13 13:39:32,378,378.0
2019-06-13 13:39:32,375,375.0
2019-06-13 13:39:34,388,388.0
2019-06-13 13:39:34,409,409.0
2019-06-13 13:39:34,450,
2019-06-13 13:39:34,539,
2019-06-13 13:39:35,585,
2019-06-13 13:39:35,481,
2019-06-13 13:39:36,441,
2019-06-13 13:39:36,412,412.0
2019-06-13 13:39:36,389,389.0
2019-06-13 13:39:37,374,374.0
2019-06-13 13:39:37,360,360.0
2019-06-13 13:39:37,342,342.0
2019-06-13 13:39:38,333,333.0
2019-06-13 13:39:38,330,330.0
2019-06-13 13:39:38,322,
2019-06-13 13:39:39,321,
2019-06-13 13:39:39,316,
2019-06-13 13:39:39,312,
2019-06-13 13:39:39,311,
2019-06-13 13:39:40,302,
2019-06-13 13:39:40,307,
2019-06-13 13:39:40,311,
2019-06-13 13:39:41,331,
2019-06-13 13:39:41,375,375.0
2019-06-13 13:39:42,411,411.0
2019-06-13 13:39:42,405,405.0
2019-06-13 13:39:42,396,396.0
2019-06-13 13:39:43,391,391.0
2019-06-13 13:39:43,378,378.0
2019-06-13 13:39:43,363,363.0
2019-06-13 13:39:44,341,341.0
2019-06-13 13:39:44,333,
2019-06-13 13:39:44,329,
2019-06-13 13:39:45,339,
2019-06-13 13:39:45,359,359.0
2019-06-13 13:39:46,407,407.0
2019-06-13 13:39:46,416,416.0
2019-06-13 13:39:47,441,
2019-06-13 13:39:47,435,
2019-06-13 13:39:47,433,
2019-06-13 13:39:48,433,
2019-06-13 13:39:48,430,
2019-06-13 13:39:49,439,
2019-06-13 13:39:49,444,
2019-06-13 13:39:50,483,
2019-06-13 13:39:50,475,
2019-06-13 13:39:51,434,
2019-06-13 13:39:51,415,415.0
2019-06-13 13:39:51,407,407.0
2019-06-13 13:39:52,394,394.0
2019-06-13 13:39:52,382,382.0
2019-06-13 13:39:52,371,371.0
2019-06-13 13:39:53,343,343.0
2019-06-13 13:39:53,321,
2019-06-13 13:39:53,308,
2019-06-13 13:39:54,298,
2019-06-13 13:39:54,294,
2019-06-13 13:39:54,284,
2019-06-13 13:39:54,286,
2019-06-13 13:39:55,287,
2019-06-13 13:39:55,284,
2019-06-13 13:39:55,307,307.0
2019-06-13 13:39:56,301,
2019-06-13 13:39:56,371,371.0
2019-06-13 13:39:57,364,364.0
2019-06-13 13:39:57,391,
2019-06-13 13:39:57,394,
2019-06-13 13:39:58,381,
2019-06-13 13:39:58,375,375.0
2019-06-13 13:39:58,370,370.0
2019-06-13 13:39:59,351,351.0
2019-06-13 13:39:59,338,338.0
2019-06-13 13:39:59,322,322.0
2019-06-13 13:40:00,313,313.0
2019-06-13 13:40:00,308,
2019-06-13 13:40:00,302,
2019-06-13 13:40:01,295,
2019-06-13 13:40:01,295,
2019-06-13 13:40:01,290,
2019-06-13 13:40:01,299,
2019-06-13 13:40:02,317,
2019-06-13 13:40:02,350,350.0
2019-06-13 13:40:03,398,
2019-06-13 13:40:03,403,
2019-06-13 13:40:04,429,
2019-06-13 13:40:04,421,
2019-06-13 13:40:04,416,
2019-06-13 13:40:05,419,
2019-06-13 13:40:05,401,
2019-06-13 13:40:07,399,
2019-06-13 13:40:07,381,
2019-06-13 13:40:07,375,
2019-06-13 13:40:08,368,368.0
2019-06-13 13:40:08,358,358.0
2019-06-13 13:40:08,339,339.0
2019-06-13 13:40:08,335,335.0
2019-06-13 13:40:08,327,327.0
2019-06-13 13:40:08,324,324.0
2019-06-13 13:40:10,324,324.0
2019-06-13 13:40:10,319,319.0
2019-06-13 13:40:10,325,325.0
2019-06-13 13:40:11,327,327.0
2019-06-13 13:40:11,316,
2019-06-13 13:40:11,313,
2019-06-13 13:40:11,312,
2019-06-13 13:40:11,308,
2019-06-13 13:40:11,303,
2019-06-13 13:40:11,308,
2019-06-13 13:40:12,317,317.0
2019-06-13 13:40:12,311,
2019-06-13 13:40:12,309,
2019-06-13 13:40:13,324,324.0
2019-06-13 13:40:13,316,316.0
2019-06-13 13:40:13,311,
2019-06-13 13:40:14,318,318.0
2019-06-13 13:40:14,329,329.0
2019-06-13 13:40:14,346,
2019-06-13 13:40:15,352,
2019-06-13 13:40:15,350,
2019-06-13 13:40:15,337,337.0
2019-06-13 13:40:16,330,330.0
2019-06-13 13:40:16,333,333.0
2019-06-13 13:40:16,332,332.0
2019-06-13 13:40:17,325,325.0
2019-06-13 13:40:17,336,336.0
2019-06-13 13:40:17,325,325.0
2019-06-13 13:40:18,319,
2019-06-13 13:40:18,323,323.0
2019-06-13 13:40:18,322,322.0
2019-06-13 13:40:19,322,322.0
2019-06-13 13:40:19,325,325.0
2019-06-13 13:40:19,331,331.0
2019-06-13 13:40:20,336,336.0
2019-06-13 13:40:20,331,331.0
2019-06-13 13:40:20,351,351.0
2019-06-13 13:40:21,344,344.0
2019-06-13 13:40:21,355,355.0
2019-06-13 13:40:21,374,
2019-06-13 13:40:22,386,
2019-06-13 13:40:22,375,
2019-06-13 13:40:23,371,
2019-06-13 13:40:23,359,359.0
2019-06-13 13:40:23,349,349.0
2019-06-13 13:40:24,336,336.0
2019-06-13 13:40:24,328,
2019-06-13 13:40:24,337,337.0
2019-06-13 13:40:25,325,
2019-06-13 13:40:25,322,
2019-06-13 13:40:25,339,339.0
2019-06-13 13:40:26,325,
2019-06-13 13:40:26,323,
2019-06-13 13:40:26,334,334.0
2019-06-13 13:40:27,349,349.0
2019-06-13 13:40:27,372,
2019-06-13 13:40:27,386,
2019-06-13 13:40:28,400,
2019-06-13 13:40:28,392,
2019-06-13 13:40:29,390,
2019-06-13 13:40:29,389,
2019-06-13 13:40:29,387,
2019-06-13 13:40:30,380,
2019-06-13 13:40:30,373,
2019-06-13 13:40:30,371,
2019-06-13 13:40:31,362,
2019-06-13 13:40:31,354,354.0
2019-06-13 13:40:31,343,343.0
2019-06-13 13:40:32,331,331.0
2019-06-13 13:40:32,324,324.0
2019-06-13 13:40:32,313,313.0
2019-06-13 13:40:33,310,310.0
2019-06-13 13:40:33,305,
2019-06-13 13:40:33,300,
2019-06-13 13:40:34,293,
2019-06-13 13:40:34,293,
2019-06-13 13:40:34,293,
2019-06-13 13:40:34,285,
2019-06-13 13:40:35,290,
2019-06-13 13:40:35,285,
2019-06-13 13:40:35,285,
2019-06-13 13:40:36,292,
2019-06-13 13:40:36,333,333.0
2019-06-13 13:40:36,332,332.0
2019-06-13 13:40:37,317,317.0
2019-06-13 13:40:37,307,307.0
2019-06-13 13:40:37,310,310.0
2019-06-13 13:40:38,305,305.0
2019-06-13 13:40:38,311,311.0
2019-06-13 13:40:38,355,
2019-06-13 13:40:39,337,337.0
2019-06-13 13:40:39,344,
2019-06-13 13:40:39,343,343.0
2019-06-13 13:40:40,362,
2019-06-13 13:40:40,354,
2019-06-13 13:40:40,370,
2019-06-13 13:40:41,375,
2019-06-13 13:40:41,370,
2019-06-13 13:40:41,368,
2019-06-13 13:40:42,356,
2019-06-13 13:40:42,348,
2019-06-13 13:40:42,343,
2019-06-13 13:40:43,338,338.0
2019-06-13 13:40:43,338,338.0
2019-06-13 13:40:43,317,317.0
2019-06-13 13:40:44,317,317.0
2019-06-13 13:40:44,306,306.0
2019-06-13 13:40:44,300,300.0
2019-06-13 13:40:45,293,293.0
2019-06-13 13:40:45,287,287.0
2019-06-13 13:40:45,285,285.0
2019-06-13 13:40:45,282,
2019-06-13 13:40:46,282,
2019-06-13 13:40:46,278,
2019-06-13 13:40:46,274,
2019-06-13 13:40:48,272,
2019-06-13 13:40:48,267,
2019-06-13 13:40:48,269,
2019-06-13 13:40:48,270,
2019-06-13 13:40:48,267,
2019-06-13 13:40:48,271,
2019-06-13 13:40:48,272,
2019-06-13 13:40:48,276,
2019-06-13 13:40:50,272,
2019-06-13 13:40:50,275,
2019-06-13 13:40:50,290,290.0
2019-06-13 13:40:50,297,297.0
2019-06-13 13:40:50,315,315.0
2019-06-13 13:40:50,342,342.0
2019-06-13 13:40:51,360,360.0
2019-06-13 13:40:51,383,
2019-06-13 13:40:52,382,382.0
2019-06-13 13:40:52,385,385.0
2019-06-13 13:40:52,390,390.0
