,episodes,start,finish,mean_nni,sdnn,sdsd,nni_50,pnni_50,nni_20,pnni_20,rmssd,median_nni,range_nni,cvsd,cvnni,mean_hr,max_hr,min_hr,std_hr
0,familiarization,13:38:51,13:39:49,387.59055118110234,387.59055118110234,387.59055118110234,387.59055118110234,387.59055118110234,387.59055118110234,387.59055118110234,387.59055118110234,387.59055118110234,387.59055118110234,387.59055118110234,387.59055118110234,387.59055118110234,387.59055118110234,387.59055118110234,387.59055118110234
1,call back,13:39:49,13:39:59,350.38461538461536,350.38461538461536,350.38461538461536,350.38461538461536,350.38461538461536,350.38461538461536,350.38461538461536,350.38461538461536,350.38461538461536,350.38461538461536,350.38461538461536,350.38461538461536,350.38461538461536,350.38461538461536,350.38461538461536,350.38461538461536
2,base-walking,13:39:59,13:41:25,349.2916666666667,349.2916666666667,349.2916666666667,349.2916666666667,349.2916666666667,349.2916666666667,349.2916666666667,349.2916666666667,349.2916666666667,349.2916666666667,349.2916666666667,349.2916666666667,349.2916666666667,349.2916666666667,349.2916666666667,349.2916666666667
3,base-standing,13:41:25,13:41:57,568.5702127659574,568.5702127659574,568.5702127659574,568.5702127659574,568.5702127659574,568.5702127659574,568.5702127659574,568.5702127659574,568.5702127659574,568.5702127659574,568.5702127659574,568.5702127659574,568.5702127659574,568.5702127659574,568.5702127659574,568.5702127659574
4,base-sitting,13:41:57,13:42:33,617.361224489796,617.361224489796,617.361224489796,617.361224489796,617.361224489796,617.361224489796,617.361224489796,617.361224489796,617.361224489796,617.361224489796,617.361224489796,617.361224489796,617.361224489796,617.361224489796,617.361224489796,617.361224489796
5,base-lying,13:42:33,13:43:40,600.7260273972603,600.7260273972603,600.7260273972603,600.7260273972603,600.7260273972603,600.7260273972603,600.7260273972603,600.7260273972603,600.7260273972603,600.7260273972603,600.7260273972603,600.7260273972603,600.7260273972603,600.7260273972603,600.7260273972603,600.7260273972603
6,body check,13:43:40,13:44:25,472.6270396270396,472.6270396270396,472.6270396270396,472.6270396270396,472.6270396270396,472.6270396270396,472.6270396270396,472.6270396270396,472.6270396270396,472.6270396270396,472.6270396270396,472.6270396270396,472.6270396270396,472.6270396270396,472.6270396270396,472.6270396270396
7,towel,13:44:25,13:45:32,407.3958333333333,407.3958333333333,407.3958333333333,407.3958333333333,407.3958333333333,407.3958333333333,407.3958333333333,407.3958333333333,407.3958333333333,407.3958333333333,407.3958333333333,407.3958333333333,407.3958333333333,407.3958333333333,407.3958333333333,407.3958333333333
8,human,13:45:32,13:45:33,371.75,371.75,371.75,371.75,371.75,371.75,371.75,371.75,371.75,371.75,371.75,371.75,371.75,371.75,371.75,371.75
9,object,13:45:33,13:45:56,340.8181818181818,340.8181818181818,340.8181818181818,340.8181818181818,340.8181818181818,340.8181818181818,340.8181818181818,340.8181818181818,340.8181818181818,340.8181818181818,340.8181818181818,340.8181818181818,340.8181818181818,340.8181818181818,340.8181818181818,340.8181818181818
