,episodes,start,finish,mean_nni,sdnn,sdsd,nni_50,pnni_50,nni_20,pnni_20,rmssd,median_nni,range_nni,cvsd,cvnni,mean_hr,max_hr,min_hr,std_hr
0,familiarization,13:38:51,13:39:49,356.8984706881903,356.8984706881903,356.8984706881903,356.8984706881903,356.8984706881903,356.8984706881903,356.8984706881903,356.8984706881903,356.8984706881903,356.8984706881903,356.8984706881903,356.8984706881903,356.8984706881903,356.8984706881903,356.8984706881903,356.8984706881903
1,call back,13:39:49,13:39:59,361.23251748251744,361.23251748251744,361.23251748251744,361.23251748251744,361.23251748251744,361.23251748251744,361.23251748251744,361.23251748251744,361.23251748251744,361.23251748251744,361.23251748251744,361.23251748251744,361.23251748251744,361.23251748251744,361.23251748251744,361.23251748251744
2,base-walking,13:39:59,13:41:25,342.2528455284553,342.2528455284553,342.2528455284553,342.2528455284553,342.2528455284553,342.2528455284553,342.2528455284553,342.2528455284553,342.2528455284553,342.2528455284553,342.2528455284553,342.2528455284553,342.2528455284553,342.2528455284553,342.2528455284553,342.2528455284553
3,base-standing,13:41:25,13:41:57,519.280701754386,519.280701754386,519.280701754386,519.280701754386,519.280701754386,519.280701754386,519.280701754386,519.280701754386,519.280701754386,519.280701754386,519.280701754386,519.280701754386,519.280701754386,519.280701754386,519.280701754386,519.280701754386
4,base-sitting,13:41:57,13:42:33,591.1111111111112,591.1111111111112,591.1111111111112,591.1111111111112,591.1111111111112,591.1111111111112,591.1111111111112,591.1111111111112,591.1111111111112,591.1111111111112,591.1111111111112,591.1111111111112,591.1111111111112,591.1111111111112,591.1111111111112,591.1111111111112
5,base-lying,13:42:33,13:43:40,588.180412371134,588.180412371134,588.180412371134,588.180412371134,588.180412371134,588.180412371134,588.180412371134,588.180412371134,588.180412371134,588.180412371134,588.180412371134,588.180412371134,588.180412371134,588.180412371134,588.180412371134,588.180412371134
6,body check,13:43:40,13:44:25,439.9647749510763,439.9647749510763,439.9647749510763,439.9647749510763,439.9647749510763,439.9647749510763,439.9647749510763,439.9647749510763,439.9647749510763,439.9647749510763,439.9647749510763,439.9647749510763,439.9647749510763,439.9647749510763,439.9647749510763,439.9647749510763
7,towel,13:44:25,13:45:27,375.9671717171717,375.9671717171717,375.9671717171717,375.9671717171717,375.9671717171717,375.9671717171717,375.9671717171717,375.9671717171717,375.9671717171717,375.9671717171717,375.9671717171717,375.9671717171717,375.9671717171717,375.9671717171717,375.9671717171717,375.9671717171717
8,object,13:45:27,13:45:32,399.45454545454544,399.45454545454544,399.45454545454544,399.45454545454544,399.45454545454544,399.45454545454544,399.45454545454544,399.45454545454544,399.45454545454544,399.45454545454544,399.45454545454544,399.45454545454544,399.45454545454544,399.45454545454544,399.45454545454544,399.45454545454544
9,human,13:45:32,13:45:33,329.175,329.175,329.175,329.175,329.175,329.175,329.175,329.175,329.175,329.175,329.175,329.175,329.175,329.175,329.175,329.175
10,object,13:45:33,13:45:51,320.688679245283,320.688679245283,320.688679245283,320.688679245283,320.688679245283,320.688679245283,320.688679245283,320.688679245283,320.688679245283,320.688679245283,320.688679245283,320.688679245283,320.688679245283,320.688679245283,320.688679245283,320.688679245283
11,object,13:45:51,13:45:56,311.55555555555554,311.55555555555554,311.55555555555554,311.55555555555554,311.55555555555554,311.55555555555554,311.55555555555554,311.55555555555554,311.55555555555554,311.55555555555554,311.55555555555554,311.55555555555554,311.55555555555554,311.55555555555554,311.55555555555554,311.55555555555554
12,human,13:45:56,13:46:00,320.3636363636364,320.3636363636364,320.3636363636364,320.3636363636364,320.3636363636364,320.3636363636364,320.3636363636364,320.3636363636364,320.3636363636364,320.3636363636364,320.3636363636364,320.3636363636364,320.3636363636364,320.3636363636364,320.3636363636364,320.3636363636364
13,car,13:46:00,13:46:07,298.725,298.725,298.725,298.725,298.725,298.725,298.725,298.725,298.725,298.725,298.725,298.725,298.725,298.725,298.725,298.725
14,object,13:46:07,13:46:38,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75
15,kong stare,13:46:38,13:47:21,552.0145202020202,552.0145202020202,552.0145202020202,552.0145202020202,552.0145202020202,552.0145202020202,552.0145202020202,552.0145202020202,552.0145202020202,552.0145202020202,552.0145202020202,552.0145202020202,552.0145202020202,552.0145202020202,552.0145202020202,552.0145202020202
16,kong play,13:47:21,13:47:40,577.6,577.6,577.6,577.6,577.6,577.6,577.6,577.6,577.6,577.6,577.6,577.6,577.6,577.6,577.6,577.6
17,kong back,13:47:40,13:48:02,535.125,535.125,535.125,535.125,535.125,535.125,535.125,535.125,535.125,535.125,535.125,535.125,535.125,535.125,535.125,535.125
18,dog,13:48:02,13:48:17,432.4193548387097,432.4193548387097,432.4193548387097,432.4193548387097,432.4193548387097,432.4193548387097,432.4193548387097,432.4193548387097,432.4193548387097,432.4193548387097,432.4193548387097,432.4193548387097,432.4193548387097,432.4193548387097,432.4193548387097,432.4193548387097
19,call back,13:48:17,13:48:43,417.82758620689657,417.82758620689657,417.82758620689657,417.82758620689657,417.82758620689657,417.82758620689657,417.82758620689657,417.82758620689657,417.82758620689657,417.82758620689657,417.82758620689657,417.82758620689657,417.82758620689657,417.82758620689657,417.82758620689657,417.82758620689657
20,crate close,13:48:43,13:49:53,575.3839285714286,575.3839285714286,575.3839285714286,575.3839285714286,575.3839285714286,575.3839285714286,575.3839285714286,575.3839285714286,575.3839285714286,575.3839285714286,575.3839285714286,575.3839285714286,575.3839285714286,575.3839285714286,575.3839285714286,575.3839285714286
21,crate open,13:49:53,13:50:06,340.9020979020979,340.9020979020979,340.9020979020979,340.9020979020979,340.9020979020979,340.9020979020979,340.9020979020979,340.9020979020979,340.9020979020979,340.9020979020979,340.9020979020979,340.9020979020979,340.9020979020979,340.9020979020979,340.9020979020979,340.9020979020979
22,isolation,13:50:06,13:51:05,567.7663043478261,567.7663043478261,567.7663043478261,567.7663043478261,567.7663043478261,567.7663043478261,567.7663043478261,567.7663043478261,567.7663043478261,567.7663043478261,567.7663043478261,567.7663043478261,567.7663043478261,567.7663043478261,567.7663043478261,567.7663043478261
23,reunion,13:51:05,13:51:11,428.6923076923077,428.6923076923077,428.6923076923077,428.6923076923077,428.6923076923077,428.6923076923077,428.6923076923077,428.6923076923077,428.6923076923077,428.6923076923077,428.6923076923077,428.6923076923077,428.6923076923077,428.6923076923077,428.6923076923077,428.6923076923077
24,petting,13:51:11,13:51:31,318.87931034482756,318.87931034482756,318.87931034482756,318.87931034482756,318.87931034482756,318.87931034482756,318.87931034482756,318.87931034482756,318.87931034482756,318.87931034482756,318.87931034482756,318.87931034482756,318.87931034482756,318.87931034482756,318.87931034482756,318.87931034482756
25,stops petting,13:51:31,13:51:57,514.5,514.5,514.5,514.5,514.5,514.5,514.5,514.5,514.5,514.5,514.5,514.5,514.5,514.5,514.5,514.5
